4167479319: Sabatia kennedyana
5077474302: Carex tenera
5077495640: Carex canescens
5077506799: Typha angustifolia
5077560662: Pogonia ophioglossoides
5077485778: Persicaria amphibia
5077499095: Salix petiolaris
5077536349: Kalmia latifolia
5077471795: Alnus serrulata
5077486804: Persicaria pensylvanica
5077500211: Salix bebbiana
5077534735: Utricularia radiata
5077468236: Rorippa sylvestris
5077496768: Carex bullata
5077516702: Proserpinaca pectinata
5077555585: Arisaema triphyllum
5077479247: Chamaenerion angustifolium
5077502322: Salix eriocephala
5077536503: Utricularia radiata
5077468905: Alnus serrulata
5077488739: Glyceria borealis
5077509542: Carex oligosperma
5077557521: Platanthera lacera
2517796795: Lobelia cardinalis
2234552587: Asplenium trichomanes
3709904563: Geocarpon groenlandicum
4929633477: Drosera linearis
5102791568: Lysimachia ciliata
1262197063: Salix humilis
1228467388: Carex scirpoidea
1228387837: Salix discolor
1228563145: Arisaema dracontium
1228285927: Carex vulpinoidea
1228348020: Epilobium coloratum
1228621608: Juncus bufonius
1228426399: Juncus marginatus
1424787620: Cypripedium acaule
1701731618: Isotria verticillata
1228224379: Carex arcta
1228211064: Juncus canadensis
1228181367: Carex eburnea
1228594112: Lythrum salicaria
1228598910: Eleocharis melanocarpa
1228308578: Juncus tenuis
1228357090: Solidago flexicaulis
1262196350: Puccinellia maritima
1228633909: Salix lucida
1228372988: Juncus nodosus
1424770386: Carex lurida
1424770648: Carex vesicaria
1944822763: Calla palustris
318052865: Carex vulpinoidea
623648077: Carya ovata
623648005: Carya glabra
1847923276: Apocynum androsaemifolium
1228433978: Carex acutiformis
1262197442: Salix nigra
1228310033: Carex plantaginea
1424774660: Rumex acetosa
1701739496: Platanthera psycodes
1262190966: Lupinus perennis
1228599514: Salix eriocephala
1228555893: Carex pauciflora
1228185316: Juncus pelocarpus
1228571272: Myosotis scorpioides
1424787121: Corallorhiza trifida
1228439367: Solidago macrophylla
1262194578: Poa pratensis
1228180607: Solidago juncea
1228211518: Carex folliculata
1424771363: Carex maritima
1262198907: Salix uva-ursi
1228279815: Carex oligosperma
1228563607: Cypripedium reginae
1701744971: Pogonia ophioglossoides
1424785197: Arethusa bulbosa
1228555530: Juncus greenei
1424777572: Potamogeton vaseyi
1228211767: Rorippa palustris
1228270473: Carex pedunculata
1424766886: Carex gynandra
1262198935: Salix uva-ursi
1990687919: Utricularia subulata
1424766718: Carex grayi
1228289262: Salix humilis
1228276209: Carex crinita
1228191412: Carex muricata
1228241197: Solidago rigida
1228417134: Salix pyrifolia
1262198501: Salix sericea
1228160418: Solidago uliginosa
1944820479: Calla palustris
1228213069: Hypericum adpressum
1228394028: Carex folliculata
1228545897: Juncus greenei
1701731680: Goodyera pubescens
1228586942: Agrostis scabra
1228500166: Platanthera hookeri
1424768562: Carex tenera
1038922270: Cyperus esculentus
1038923052: Cardamine pensylvanica
1038929471: Rudbeckia triloba
1038931432: Mitchella repens
1038936870: Campsis radicans
1038937445: Ulmus rubra
1038938673: Asarum canadense
1038941785: Eleocharis obtusa
1038943235: Bidens tripartita
1038947294: Fimbristylis autumnalis
1038951087: Symphyotrichum tradescantii
1038964744: Echium vulgare
1038967261: Prunus cerasus
1038973493: Galium album
1038982319: Ambrosia trifida
1038984796: Physostegia virginiana
1038987198: Hudsonia tomentosa
1038990677: Cichorium intybus
1038993532: Chenopodium leptophyllum
1038999086: Festuca amethystina
1039000656: Helianthus giganteus
1039007168: Panax trifolius
1039008561: Dysphania ambrosioides
