1038918758: YU.037310
1038919093: CBS.008065
1038919101: CBS.035260
1038919124: CBS.001342
1038930849: YU.061893
1038931432: YU.059034
1038940640: CBS.018531
1038946733: YU.029479
1038958083: CBS.007899
1038964757: YU.047399
1038965012: YU.047558
1038969525: YU.058961
1038977542: CBS.037979
1038980442: YU.058217
1038982319: YU.062516
1038983765: YU.008327
1038991418: CBS.035111
1038998888: CBS.007625
1039000656: CBS.037209
1039015537: YU.037642
1039016550: CBS.029819
1039020370: CBS.006436
1039025334: CBS.033330
1135453008: 0031638
1228180607: V0301680F
1228185316: V0347663F
1228308578: V0348254F
1228599514: V0351647F
1228621608: V0328667F
1262190966: V0367180F
1424769030: V0359708F
1503302652: 7037
1882649139: 11449
1947780920: 34820
1978899246: 65764
1978899343: 30787
1986983095: UTC00000148
1995316443: 12816
2270463903: ASU0138473
3066874302: 7049
4850289459: 000105005
5067911119: NHA-547104
5067928796: NHA-546199
5067933290: NHA-550830
5067935458: NHA-554145
5077516702: v0338003WIS
5077536349: v0369332WIS
5077552655: v0396341WIS
5102793515: 198847
